Tipo Prenda,Color,Talla,Sexo,Precio
Polar,Rojo,S,Unisex,12
Polar,Rojo,M,Unisex,12
Polar,Rojo,L,Unisex,12
Polar,Rojo,XL,Unisex,12
Polar,Rojo,XXL,Unisex,12
Polar,Rojo,S,Mujer,12
Polar,Rojo,M,Mujer,12
Polar,Rojo,L,Mujer,12
Polar,Rojo,XL,Mujer,12
Polar,Rojo,XXL,Mujer,12
Polar,Royal,S,Unisex,12
Polar,Royal,M,Unisex,12
Polar,Royal,L,Unisex,12
Polar,Royal,XL,Unisex,12
Polar,Royal,XXL,Unisex,12
Polar,Royal,S,Mujer,12
Polar,Royal,M,Mujer,12
Polar,Royal,L,Mujer,12
Polar,Royal,XL,Mujer,12
Polar,Royal,XXL,Mujer,12
Polar,Azul Marino,S,Unisex,12
Polar,Azul Marino,M,Unisex,12
Polar,Azul Marino,L,Unisex,12
Polar,Azul Marino,XL,Unisex,12
Polar,Azul Marino,XXL,Unisex,12
Polar,Azul Marino,S,Mujer,12
Polar,Azul Marino,M,Mujer,12
Polar,Azul Marino,L,Mujer,12
Polar,Azul Marino,XL,Mujer,12
Polar,Azul Marino,XXL,Mujer,12
Parka,Rojo,S,Unisex,25
Parka,Rojo,M,Unisex,25
Parka,Rojo,L,Unisex,25
Parka,Rojo,XL,Unisex,25
Parka,Rojo,XXL,Unisex,25
Parka,Rojo,S,Mujer,25
Parka,Rojo,M,Mujer,25
Parka,Rojo,L,Mujer,25
Parka,Rojo,XL,Mujer,25
Parka,Rojo,XXL,Mujer,25
Parka,Royal,S,Unisex,25
Parka,Royal,M,Unisex,25
Parka,Royal,L,Unisex,25
Parka,Royal,XL,Unisex,25
Parka,Royal,XXL,Unisex,25
Parka,Royal,S,Mujer,25
Parka,Royal,M,Mujer,25
Parka,Royal,L,Mujer,25
Parka,Royal,XL,Mujer,25
Parka,Royal,XXL,Mujer,25
Parka,Azul Marino,S,Unisex,25
Parka,Azul Marino,M,Unisex,25
Parka,Azul Marino,L,Unisex,25
Parka,Azul Marino,XL,Unisex,25
Parka,Azul Marino,XXL,Unisex,25
Parka,Azul Marino,S,Mujer,25
Parka,Azul Marino,M,Mujer,25
Parka,Azul Marino,L,Mujer,25
Parka,Azul Marino,XL,Mujer,25
Parka,Azul Marino,XXL,Mujer,25
